#q  Q      Im(w)    r_m  Re(w)
0.2 0.978  2.351e-9 42.2 0.1468
0.3 0.960  6.383e-8 26.8 0.1973
0.4 0.951  4.089e-7 19.8 0.2521
0.5 0.946  1.489e-6 15.8 0.3083
0.6 0.947  4.007e-6 13.0 0.3699
0.8 0.949  1.739e-5  9.6 0.4974
0.9 0.953  3.080e-5  8.4 0.5679
1.0 0.955  5.065e-5  7.6 0.6313
