0.5	9.815015681232808e-7
0.495	9.563441456870377e-7
0.49	9.314263401802004e-7
0.485	9.066754243949349e-7
0.48	8.821109188480579e-7
0.475	8.57740817435402e-7
0.47	8.335040499055173e-7
0.46499999999999997	8.094086232018232e-7
0.46	7.85437887718438e-7
0.455	7.615760115126655e-7
0.45	7.378356170418649e-7
0.445	7.141485573368749e-7
0.44	6.905620116031611e-7
0.435	6.669899940913751e-7
0.43	6.434987088890268e-7
0.425	6.200149921617357e-7
0.42	5.965270913340583e-7
0.415	5.730373888243401e-7
0.41000000000000003	5.495196876695504e-7
0.405	5.259489631378733e-7
0.4	5.02333413743569e-7
0.395	4.786094240654855e-7
0.39	4.5481009742151283e-7
0.385	4.308750522392654e-7
0.38	4.068189794934238e-7
0.375	3.825826644127671e-7
0.37	3.581710049749317e-7
0.365	3.335711321788e-7
0.36	3.0875468026000565e-7
0.355	2.8366574045955535e-7
0.35	2.5833423961857793e-7
0.345	2.326857742504594e-7
0.33999999999999997	2.0673797376198127e-7
0.33499999999999996	1.8045217249564056e-7
0.32999999999999996	1.5380597189310243e-7
0.325	1.267620393140617e-7
0.32	9.93034084314516e-8
0.315	7.137971803809593e-8
0.31	4.299496037583276e-8
0.305	1.4151213818507695e-8
0.3	-1.5297243062830382e-8
0.29500000000000004	-4.533236029369606e-8
0.29000000000000004	-7.591817725213489e-8
0.28500000000000003	-1.0717364957281311e-7
0.28	-1.3908640659170418e-7
0.275	-1.717158097456695e-7
0.27	-2.0507788956779133e-7
0.265	-2.392306266901091e-7
0.26	-2.742102614141444e-7
0.255	-3.100992332133292e-7
0.25	-3.4685963174024444e-7
0.245	-3.845778407296074e-7
0.24	-4.2327491555038527e-7
0.235	-4.630057932970912e-7
0.22999999999999998	-5.038511205017791e-7
0.22499999999999998	-5.458330321872385e-7
0.21999999999999997	-5.890177523258816e-7
0.21500000000000002	-6.334783764281328e-7
0.21000000000000002	-6.791842928953232e-7
0.20500000000000002	-7.262905631096733e-7
0.2	-7.748013911378158e-7
0.195	-8.248024197398458e-7
0.19	-8.763497924083997e-7
0.185	-9.295109361294657e-7
0.18	-9.843573124397035e-7
0.175	-1.040955626606493e-6
0.16999999999999998	-1.0994331465703195e-6
0.16499999999999998	-1.1596951700482567e-6
0.15999999999999998	-1.2219550202488661e-6
0.15500000000000003	-1.2863233479375377e-6
0.15000000000000002	-1.3528553437169866e-6
0.14500000000000002	-1.421542870967508e-6
0.14	-1.4925765708758205e-6
0.135	-1.5660712881633926e-6
0.13	-1.642022947543615e-6
0.125	-1.7205435211953003e-6
0.12	-1.8018109509367326e-6
0.11499999999999999	-1.8858984126968049e-6
0.10999999999999999	-1.972948559074323e-6
0.10499999999999998	-2.063065869775623e-6
0.09999999999999998	-2.1562062016025163e-6
0.09499999999999997	-2.2527069388980773e-6
0.09000000000000002	-2.352575917256317e-6
0.08500000000000002	-2.4560841518016454e-6
0.08000000000000002	-2.563120684536913e-6
0.07500000000000001	-2.6740316958860537e-6
0.07	-2.7889705052632303e-6
0.065	-2.9079344241538865e-6
0.06	-3.031216702412922e-6
0.05499999999999999	-3.158856686196866e-6
0.04999999999999999	-3.2911284966783452e-6
0.044999999999999984	-3.4281107999771717e-6
0.03999999999999998	-3.5701204987140254e-6
0.034999999999999976	-3.717271458820726e-6
0.030000000000000027	-3.869611545403934e-6
0.025000000000000022	-4.027490340124848e-6
0.020000000000000018	-4.191189140124236e-6
0.015000000000000013	-4.360762731233222e-6
0.010000000000000009	-4.536517320564498e-6
0.0050000000000000044	-4.718658223349545e-6
0.	-4.907316876123589e-6
0.5	9.815015681232808e-7
0.505	1.0068491618884867e-6
0.51	1.0324417184795075e-6
0.515	1.058296569310072e-6
0.52	1.0843760557821132e-6
0.525	1.110754422150658e-6
0.53	1.1373840598814235e-6
0.535	1.1643338431993205e-6
0.54	1.1915900151277042e-6
0.545	1.2191696389964223e-6
0.55	1.2470378906955677e-6
0.555	1.2752881524375693e-6
0.56	1.3038741547016541e-6
0.565	1.3327945567621729e-6
0.5700000000000001	1.3621460846848962e-6
0.575	1.3918387735393945e-6
0.58	1.422023420535784e-6
0.585	1.4524567969420305e-6
0.59	1.483389642892752e-6
0.595	1.514754333970287e-6
0.6	1.5465671907980276e-6
0.605	1.5788232904174107e-6
0.61	1.6115519010572563e-6
0.615	1.6447579565845667e-6
0.62	1.6784588051096485e-6
0.625	1.712620810370575e-6
0.63	1.7473216249790262e-6
0.635	1.7825006490600155e-6
0.64	1.8182998528231503e-6
0.645	1.8545590968993341e-6
0.65	1.8914220932415126e-6
0.655	1.9288287991971965e-6
0.66	1.96675651343052e-6
0.665	2.005330845553283e-6
0.67	2.044535905175281e-6
0.675	2.0843142814769305e-6
0.6799999999999999	2.124718683322017e-6
0.685	2.1657068324435523e-6
0.69	2.2074419805388634e-6
0.6950000000000001	2.2497246341516596e-6
0.7	2.292726365216671e-6
0.705	2.336423526283369e-6
0.71	2.380830358415789e-6
0.715	2.425914312714727e-6
0.72	2.4716705601965607e-6
0.725	2.518239187987718e-6
0.73	2.5655107710727983e-6
0.735	2.613526884368471e-6
0.74	2.662351928831897e-6
0.745	2.7118793733971986e-6
0.75	2.7621976652307677e-6
0.755	2.813354530687614e-6
0.76	2.8653267068408805e-6
0.765	2.9181722011907126e-6
0.77	2.971777337303041e-6
0.775	3.0262751643213705e-6
0.78	3.0816737798338886e-6
0.7849999999999999	3.137937904828254e-6
0.79	3.1950424946923055e-6
0.7949999999999999	3.2530965928473503e-6
0.8	3.3120766684871304e-6
